year,ism_state,observations,unique_industries,mean_ism_score,mean_formation_return_12_1,median_formation_return_12_1
2021,TOP_DECILE,60,13,0.9583333333333335,1.1979192050674212,1.1122872291060835
2022,BOTTOM_DECILE,60,13,0.041666666666666644,-0.30803023607550206,-0.3046979632996216
2022,MIDDLE,468,46,0.5,-0.0004971728105774552,0.006500367807956551
2022,TOP_DECILE,60,14,0.9583333333333334,0.5848935235073202,0.4161255127813852
2023,BOTTOM_DECILE,60,17,0.041666666666666644,-0.2068988805979405,-0.19829810274063087
2023,MIDDLE,468,49,0.5,0.020427924732613584,0.02162632863771825
2023,TOP_DECILE,60,15,0.9583333333333333,0.35531341805219324,0.3196984734320757
2024,BOTTOM_DECILE,60,15,0.041666666666666644,-0.0691338905199295,-0.06143175196362795
2024,MIDDLE,468,49,0.5,0.17135350749414424,0.16821997612695733
2024,TOP_DECILE,60,16,0.9583333333333334,0.48889666464909676,0.480724309980536
2025,BOTTOM_DECILE,60,15,0.04166666666666665,-0.1596054148659444,-0.15188475443257765
2025,MIDDLE,468,49,0.5,0.09591180321642803,0.08830642447396544
2025,TOP_DECILE,60,16,0.9583333333333334,0.46077234599132866,0.4297071845207272
2026,BOTTOM_DECILE,25,10,0.041666666666666644,-0.1303598860103175,-0.1376632047807028
2026,MIDDLE,195,45,0.5,0.16829177926511127,0.1530824054571333
2026,TOP_DECILE,25,9,0.9583333333333333,0.8285577895810212,0.7554502089363413
