asset_id,symbol,exchange,status,tradable,security_type_assessment,security_type_reason
1d8f687f-8e03-44cb-8215-4291036d75fd,WTF,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
26585a4f-3d0f-431a-b71e-cfab96fc0deb,WTFCN,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains PREFERRED
bd83de0c-a523-4e93-9b54-9b9730264276,WTBN,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains FUND
e308e834-dc73-4b50-9bac-10bc0593332f,WTIB,ARCA,active,True,EXCLUDED_NON_COMMON,name contains FUND
7828777a-2ebf-429a-8036-41ec7a715580,WTID,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETN
aaba4440-b6f0-4ed9-8ab0-b8c2a0ab01d9,WTIP,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains FUND
06145e5a-c366-469e-848e-91e2824c5aaa,WTIU,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETN
f749f257-541c-49bc-8e1f-1f00bee43d1d,WTLS,BATS,active,True,EXCLUDED_NON_COMMON,name contains FUND
bf36ce7a-58d6-496d-a4e2-7a721dbd8fa8,WTMF,ARCA,active,True,EXCLUDED_NON_COMMON,name contains FUND
7abc28b8-6fb6-442e-85fe-da1896331eb9,WTMU,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains FUND
54e7466b-338d-4c29-9255-3c5c60a04b47,WVVI,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
c2db4d9f-9f7c-4c33-a524-9228185516b3,WVVIP,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains PREFERRED
4480035a-b3f4-44df-aeac-392754a25d57,PCLG,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
7c1a2df6-9fd5-4671-9d00-b47ca108ac33,WTMY,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains FUND
0c1b3fcf-ba03-4594-9eb3-c27e0afcf433,WTPI,ARCA,active,True,EXCLUDED_NON_COMMON,name contains FUND
900b6f9e-9cfb-4583-84d0-2d9b3f14bbb8,WTRE,ARCA,active,True,EXCLUDED_NON_COMMON,name contains FUND
992bda61-aa14-4991-8f71-873885631610,WTV,ARCA,active,True,EXCLUDED_NON_COMMON,name contains FUND
c336f27d-dd7b-44b6-8fee-458ea05a80ab,WUGI,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
6bb76a17-41a1-40d4-8ea2-ea9118044f98,WULX,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
c9dbdc12-1945-4421-8171-49f26c0a2b74,WWJD,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
a34d19ed-5729-46e7-b2bf-a658743218de,WWR,AMEX,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
cf88bb81-4ed9-41ff-9de4-dfe785f2566e,WX,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
6ded4908-d48c-4538-a959-a96361d801ef,WXET,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
1cddad7e-fe28-4fb5-a879-d9215e6c307a,WXM,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
02c158c7-b366-44ac-b9c5-aaf180947dd9,WYHG,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains DEPOSITARY
c9b0b5c7-7383-41ee-a479-725d4c5168e3,WYFI,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
e02f72cd-334d-4e41-bc42-d2ea7048d1e5,WYFL,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
ee5eea60-19ba-4636-a3cb-f37b3017686b,XA,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
9a8d6f92-092d-4cf9-8420-8eeb5e2ebdbf,XAGG,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
9cb75dd1-1e94-405e-96ae-0a8ee8f582a3,XAGI,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
60f7ba97-11c8-450d-a961-8e1ff49c9d9e,XAIX,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains ETF
a40894cb-24a5-44ea-a7e2-076d094a2b15,XAPR,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
2f0f82f8-1c14-46e2-9454-a4fc0a4217b3,XB,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
feab05dd-927d-426c-bcc7-49b00de6f27e,XBAP,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
86575f99-d255-4608-b167-f9bfe892ab89,XBB,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
76208dfa-1955-48db-b05e-3add5f903cf3,XBIO,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
80691c60-a7c5-4f3a-9937-b265598279b5,XBFR,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
15814e85-e9ef-4cc3-87e3-b673c4b60bda,XBIX,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
8c106318-6c64-4540-ae53-eb6720259a5f,XBJA,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
ea0413fa-fdd5-461c-891a-c9c751478ba5,XBJL,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
a580aae0-718b-4f0e-b57c-b9219d02c9c4,XBNB,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
4ba23589-6888-4016-9bd5-25179a6ac03f,XBOC,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
6a448ec3-45d7-46e4-8c0b-ea682f124f9c,XBOX,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
484b2046-c09f-4aaf-9d06-cba8907174ec,XBTY,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains ETF
b726d325-bb08-421a-9bab-622878f6e810,XC,ARCA,active,True,EXCLUDED_NON_COMMON,name contains FUND
e4d28eb4-5b84-4d8c-899b-2987fb76e529,XCUR,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
b1b2629d-cb2a-43c1-8ea5-a6f7b0e872f2,XCEM,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
4d6e1c72-86fc-453b-829f-7d87a26bbbfa,XCH,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains DEPOSITARY
91213dcd-956f-43be-be9f-d0e145ae5bbf,XCLR,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
f6329fdd-4624-4a95-87e9-09e2336108e0,XCNY,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains ETF
ff09cd94-4a52-413b-917d-ecac54c7ad3d,XDAT,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
2155c72e-a061-48c2-adeb-9d4cc6be2824,XDEC,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
d91941b6-c7ef-4079-9994-b4538a6ebbe6,XDEF,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains ETF
022fcbb5-5744-4889-8cd1-f9c1e201ad8c,XDIV,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
c94074ab-dee8-4e0d-9952-bd2f3147db91,XDQQ,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
38928cea-6069-47e4-81b8-14ef393c8d31,XDSQ,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
f56e7ca6-6886-47ed-9c91-6a8f188d7d7e,XE,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
fcc0e0c0-2d8e-4bd2-8c43-a84788fbbe26,XELB,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
cb4348d6-05d8-456d-bfaf-3b167845a983,XFLH.RT,NYSE,active,True,EXCLUDED_SYMBOL_PATTERN,symbol not simple 1-5 uppercase letters
95e2303a-e8c8-4b7e-acc4-6372bf2c9ffa,XES,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
8cef4427-c16e-4bb5-9dcb-f251278da774,XEUR,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
eb25b9a6-c12d-43f9-9e43-52e8033246bb,XEY,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains ETF
478c274a-10c4-4611-a095-376acdfa240f,XFEB,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
75b79f3a-d94c-4709-b625-2366bc9e763e,XFIV,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
